"colname","data_type"
"DATE","character"
"ID","integer"
"CM_AIDS","integer"
"CM_ALCOHOL","integer"
"CM_ANEMDEF","integer"
"CM_ARTH","integer"
"CM_BLDLOSS","integer"
"CM_CHF","integer"
"CM_CHRNLUNG","integer"
"CM_COAG","integer"
"CM_DEPRESS","integer"
"CM_DM","integer"
"CM_DMCX","integer"
"CM_DRUG","integer"
"CM_HTN_C","integer"
"CM_HYPOTHY","integer"
"CM_LIVER","integer"
"CM_LYMPH","integer"
"CM_LYTES","integer"
"CM_METS","integer"
"CM_NEURO","integer"
"CM_OBESE","integer"
"CM_PARA","integer"
"CM_PERIVASC","integer"
"CM_PSYCH","integer"
"CM_PULMCIRC","integer"
"CM_RENLFAIL","integer"
"CM_TUMOR","integer"
"CM_ULCER","integer"
"CM_VALVE","integer"
"CM_WGHTLOSS","integer"
"NREVCD","logical"
"REVCD1","logical"
"REVCD2","logical"
"REVCD3","logical"
"REVCD4","logical"
"REVCD5","logical"
"REVCD6","logical"
"REVCD7","logical"
"REVCD8","logical"
"REVCD9","logical"
"REVCD10","logical"
"REVCD11","logical"
"REVCD12","logical"
"REVCD13","logical"
"REVCD14","logical"
"REVCD15","logical"
"REVCD16","logical"
"REVCD17","logical"
"REVCD18","logical"
"REVCD19","logical"
"REVCD20","logical"
"REVCD21","logical"
"REVCD22","logical"
"REVCD23","logical"
"REVCD24","logical"
"REVCD25","logical"
"REVCD26","logical"
"REVCD27","logical"
"REVCD28","logical"
"REVCD29","logical"
"REVCD30","logical"
"REVCD31","logical"
"REVCD32","logical"
"REVCD33","logical"
"REVCD34","logical"
"REVCD35","logical"
"REVCD36","logical"
"REVCD37","logical"
"REVCD38","logical"
"REVCD39","logical"
"REVCD40","logical"
"REVCD41","logical"
"REVCD42","logical"
"REVCD43","logical"
"REVCD44","logical"
"REVCD45","logical"
"REVCD46","logical"
"REVCD47","logical"
"REVCD48","logical"
"REVCD49","logical"
"REVCD50","logical"
"REVCD51","logical"
"REVCHG1","logical"
"REVCHG2","logical"
"REVCHG3","logical"
"REVCHG4","logical"
"REVCHG5","logical"
"REVCHG6","logical"
"REVCHG7","logical"
"REVCHG8","logical"
"REVCHG9","logical"
"REVCHG10","logical"
"REVCHG11","logical"
"REVCHG12","logical"
"REVCHG13","logical"
"REVCHG14","logical"
"REVCHG15","logical"
"REVCHG16","logical"
"REVCHG17","logical"
"REVCHG18","logical"
"REVCHG19","logical"
"REVCHG20","logical"
"REVCHG21","logical"
"REVCHG22","logical"
"REVCHG23","logical"
"REVCHG24","logical"
"REVCHG25","logical"
"REVCHG26","logical"
"REVCHG27","logical"
"REVCHG28","logical"
"REVCHG29","logical"
"REVCHG30","logical"
"REVCHG31","logical"
"REVCHG32","logical"
"REVCHG33","logical"
"REVCHG34","logical"
"REVCHG35","logical"
"REVCHG36","logical"
"REVCHG37","logical"
"REVCHG38","logical"
"REVCHG39","logical"
"REVCHG40","logical"
"REVCHG41","logical"
"REVCHG42","logical"
"REVCHG43","logical"
"REVCHG44","logical"
"REVCHG45","logical"
"REVCHG46","logical"
"REVCHG47","logical"
"REVCHG48","logical"
"REVCHG49","logical"
"REVCHG50","logical"
"REVCHG51","logical"
"UNIT1","logical"
"UNIT2","logical"
"UNIT3","logical"
"UNIT4","logical"
"UNIT5","logical"
"UNIT6","logical"
"UNIT7","logical"
"UNIT8","logical"
"UNIT9","logical"
"UNIT10","logical"
"UNIT11","logical"
"UNIT12","logical"
"UNIT13","logical"
"UNIT14","logical"
"UNIT15","logical"
"UNIT16","logical"
"UNIT17","logical"
"UNIT18","logical"
"UNIT19","logical"
"UNIT20","logical"
"UNIT21","logical"
"UNIT22","logical"
"UNIT23","logical"
"UNIT24","logical"
"UNIT25","logical"
"UNIT26","logical"
"UNIT27","logical"
"UNIT28","logical"
"UNIT29","logical"
"UNIT30","logical"
"UNIT31","logical"
"UNIT32","logical"
"UNIT33","logical"
"UNIT34","logical"
"UNIT35","logical"
"UNIT36","logical"
"UNIT37","logical"
"UNIT38","logical"
"UNIT39","logical"
"UNIT40","logical"
"UNIT41","logical"
"UNIT42","logical"
"UNIT43","logical"
"UNIT44","logical"
"UNIT45","logical"
"UNIT46","logical"
"UNIT47","logical"
"UNIT48","logical"
"UNIT49","logical"
"UNIT50","logical"
"UNIT51","logical"
"AGE","integer"
"AGEDAY","logical"
"AGEMONTH","logical"
"AHOUR","logical"
"AMONTH","integer"
"ATYPE","character"
"AWEEKEND","logical"
"BILLTYPE","logical"
"DHOUR","logical"
"DIED","logical"
"DISPUB04","logical"
"DISPUNIFORM","logical"
"DISP_X","logical"
"DQTR","logical"
"DRG","integer"
"DRG24","logical"
"DRGVER","logical"
"DRG_NOPOA","character"
"DSHOSPID","character"
"DX1","character"
"DX2","character"
"DX3","character"
"DX4","character"
"DX5","character"
"DX6","character"
"DX7","character"
"DX8","character"
"DX9","character"
"DX10","character"
"DX11","character"
"DX12","character"
"DX13","character"
"DX14","character"
"DX15","character"
"DX16","character"
"DX17","integer"
"DX18","character"
"DX19","character"
"DX20","integer"
"DX21","integer"
"DX22","character"
"DX23","integer"
"DX24","integer"
"DX25","integer"
"DXCCS1","integer"
"DXCCS2","logical"
"DXCCS3","logical"
"DXCCS4","logical"
"DXCCS5","logical"
"DXCCS6","logical"
"DXCCS7","logical"
"DXCCS8","logical"
"DXCCS9","logical"
"DXCCS10","logical"
"DXCCS11","logical"
"DXCCS12","logical"
"DXCCS13","logical"
"DXCCS14","logical"
"DXCCS15","logical"
"DXCCS16","logical"
"DXCCS17","logical"
"DXCCS18","logical"
"DXCCS19","logical"
"DXCCS20","logical"
"DXCCS21","logical"
"DXCCS22","logical"
"DXCCS23","logical"
"DXCCS24","logical"
"DXCCS25","logical"
"DXPOA1","integer"
"DXPOA2","integer"
"DXPOA3","integer"
"DXPOA4","integer"
"DXPOA5","integer"
"DXPOA6","integer"
"DXPOA7","integer"
"DXPOA8","integer"
"DXPOA9","integer"
"DXPOA10","integer"
"DXPOA11","integer"
"DXPOA12","integer"
"DXPOA13","integer"
"DXPOA14","integer"
"DXPOA15","integer"
"DXPOA16","integer"
"DXPOA17","integer"
"DXPOA18","integer"
"DXPOA19","integer"
"DXPOA20","integer"
"DXPOA21","integer"
"DXPOA22","integer"
"DXPOA23","integer"
"DXPOA24","integer"
"DXPOA25","integer"
"DAYSTOEVENT","character"
"ECODE1","logical"
"ECODE2","logical"
"ECODE3","logical"
"ECODE4","logical"
"ECODE5","logical"
"ECODE6","logical"
"ECODE7","logical"
"ECODE8","logical"
"E_CCS1","logical"
"E_CCS2","logical"
"E_CCS3","logical"
"E_CCS4","logical"
"E_CCS5","logical"
"E_CCS6","logical"
"E_CCS7","logical"
"E_CCS8","logical"
"E_POA1","integer"
"E_POA2","integer"
"E_POA3","integer"
"E_POA4","integer"
"E_POA5","integer"
"E_POA6","integer"
"E_POA7","integer"
